dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,8.996044,5.329677,11.953331,3.709920,0.237400,-0.236269,4.736691
0.050000,8.999260,5.143644,12.139392,3.721220,0.226003,-0.227953,4.722754
0.050000,9.000135,4.948804,12.334234,3.896842,3.512448,65.728913,4.717697
0.050000,9.004184,4.722890,12.560184,4.518993,12.443018,178.611400,4.743653
0.050000,9.014990,4.491412,12.791914,4.634603,2.312187,-202.616629,4.775393
0.050000,9.034690,4.252424,13.031712,4.795964,3.227236,18.300984,4.815207
0.050000,9.066712,4.002941,13.283242,5.030602,4.692746,29.310201,4.866765
0.050000,9.117003,3.738232,13.552686,5.388885,7.165670,49.458478,4.936263
0.050000,9.196885,3.450773,13.851038,5.967022,11.562741,87.941412,5.034735
0.050000,9.329935,3.129946,14.198360,6.946438,19.588320,160.511585,5.182373
0.050000,9.565420,2.771330,14.627380,8.580420,32.679633,261.826260,5.412344
0.050000,9.969180,2.426443,15.158388,10.620143,40.794459,162.296529,5.745832
0.050000,10.490106,2.232470,15.714256,11.117376,9.944669,-616.995816,6.104711
0.050000,10.954622,2.213313,16.179167,9.298218,-36.383167,-926.556709,0.087819
0.050000,11.314342,2.276698,16.544429,7.305227,-39.859814,-69.532941,0.253500
0.050000,11.601040,2.367482,16.845157,6.014566,-25.813215,280.931975,0.354356
0.050000,11.843145,2.466172,17.106604,5.228940,-15.712532,202.013658,0.415844
0.050000,12.056877,2.565549,17.342309,4.714106,-10.296676,108.317127,0.451562
0.050000,12.250953,2.662001,17.559032,4.334455,-7.593018,54.073168,0.468288
0.050000,12.429801,2.752823,17.759619,4.011748,-6.454151,22.777333,0.468875
0.050000,12.594944,2.835192,17.944164,3.690882,-6.417308,0.736853,0.453421
0.050000,12.745125,2.905614,18.110036,3.317459,-7.468466,-21.023162,0.419302
0.050000,12.875164,2.959562,18.250822,2.815711,-10.034956,-51.329795,0.360108
0.050000,12.972732,2.991811,18.353582,2.055193,-15.210359,-103.508062,0.262906
0.050000,13.012167,3.000458,18.393953,0.807421,-24.955437,-194.901559,0.103302
0.050000,13.121723,3.000777,18.503509,2.191133,27.674225,1052.593251,0.012949
0.050000,13.349221,3.006771,18.731086,4.551533,47.208011,390.675702,0.040532
0.050000,13.582811,3.020098,18.965057,4.679414,2.557613,-893.007942,0.074514
0.050000,13.824713,3.043217,19.208060,4.860070,3.613120,21.110129,0.117537
0.050000,14.078365,3.080169,19.464390,5.126602,5.330640,34.350403,0.173901
0.050000,14.349254,3.138158,19.741417,5.540531,8.278583,58.958853,0.250996
0.050000,14.645977,3.231326,20.052422,6.220104,13.591467,106.257694,0.362161
0.050000,14.979272,3.389660,20.421415,7.379860,23.195120,192.073041,0.531597
0.050000,15.344177,3.672354,20.883012,9.231929,37.041376,276.925123,0.794531
0.050000,15.656450,4.128871,21.436114,11.062047,36.602356,-8.780388,1.150581
0.050000,15.788146,4.647785,21.971479,10.707295,-7.095043,-873.947975,1.488515
0.050000,15.771972,5.077857,22.401855,8.607520,-41.995501,-698.009176,1.719856
0.050000,15.696772,5.409407,22.741826,6.799421,-36.161978,116.670476,1.861007
0.050000,15.604863,5.673439,23.021398,5.591440,-24.159624,240.047071,1.945855
0.050000,15.512263,5.891342,23.258160,4.735241,-17.123963,140.713224,1.996230
0.050000,15.424812,6.076691,23.463104,4.098882,-12.727193,87.935394,2.024769
0.050000,15.344581,6.237930,23.643201,3.601948,-9.938681,55.770248,2.038457
0.050000,15.272579,6.379758,23.802259,3.181156,-8.415830,30.457018,2.041103
0.050000,15.209351,6.504870,23.942440,2.803624,-7.550636,17.303872,2.034872
0.050000,15.155168,6.614806,24.065004,2.451270,-7.047092,10.070878,2.021025
0.050000,15.110081,6.710406,24.170702,2.113976,-6.745881,6.024235,2.000314
0.050000,15.073909,6.792084,24.260031,1.786571,-6.548100,3.955602,1.973234
0.050000,15.046215,6.860037,24.333411,1.467596,-6.379490,3.372204,1.940205
0.050000,15.026267,6.914442,24.391358,1.158945,-6.173030,4.129215,1.901744
0.050000,15.013023,6.955657,24.434649,0.865812,-5.862650,6.207585,1.858627
0.050000,15.005171,6.984428,24.464472,0.596462,-5.387010,9.512804,1.812041
0.050000,15.001238,7.002059,24.482536,0.361288,-4.703474,13.670723,1.763695
0.050000,14.999770,7.010475,24.491079,0.170856,-3.808642,17.896640,1.715827
0.050000,14.999547,7.012116,24.492735,0.033128,-2.754559,21.081663,1.671072
0.050000,14.999735,7.009664,24.495195,0.049199,0.321411,61.519391,1.632200
0.050000,14.999916,7.005667,24.499196,0.080015,0.616338,5.898544,1.601787
0.050000,14.999988,7.002203,24.502661,0.069297,-0.214374,-16.614236,1.581911
0.050000,15.000000,7.000413,24.504451,0.035796,-0.670012,-9.112762,1.572812
0.050000,15.000000,7.000000,24.504864,0.008261,-0.550701,2.386221,1.570796
0.050000,15.000000,7.000000,24.504864,0.000000,-0.165223,7.709565,1.570796
