dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,10.995453,5.378277,15.046015,4.290010,-0.237283,0.236057,4.736691
0.050000,10.999152,5.164373,15.259951,4.278715,-0.225896,0.227750,4.722754
0.050000,11.000107,4.959419,15.464907,4.099124,-3.591837,-67.318822,4.717697
0.050000,11.003207,4.785408,15.638946,3.480783,-12.366820,-175.499675,4.743653
0.050000,11.011022,4.617336,15.807199,3.365062,-2.314406,201.048285,4.775393
0.050000,11.024128,4.457698,15.967375,3.203508,-3.231076,-18.333388,4.815207
0.050000,11.042928,4.310467,16.115800,2.968515,-4.699869,-29.375867,4.866765
0.050000,11.067092,4.182249,16.246276,2.609512,-7.180056,-49.603734,4.936263
0.050000,11.093875,4.084358,16.347765,2.029772,-11.594807,-88.295035,5.034735
0.050000,11.113086,4.035689,16.400088,1.046466,-19.666118,-161.426219,5.182373
0.050000,11.095163,4.059696,16.430047,0.599177,-8.945777,214.406830,5.412344
0.050000,10.992909,4.144576,16.562940,2.657863,41.173713,1002.389788,5.745832
0.050000,10.845163,4.200701,16.720987,3.160932,10.061394,-622.246374,6.104711
0.050000,10.779209,4.205606,16.787123,1.322724,-36.764160,-936.511085,0.087819
0.050000,10.812755,4.212779,16.821426,0.686074,-12.733010,480.623001,0.253500
0.050000,10.907067,4.243222,16.920530,1.982081,25.920139,773.062992,0.354356
0.050000,11.035220,4.295724,17.059021,2.769806,15.754509,-203.312597,0.415844
0.050000,11.184133,4.365082,17.223294,3.285469,10.313257,-108.825053,0.451562
0.050000,11.348235,4.446686,17.406567,3.665451,7.599628,-54.272574,0.468288
0.050000,11.526035,4.536978,17.605979,3.988251,6.456007,-22.872419,0.468875
0.050000,11.718857,4.633099,17.821431,4.309037,6.415724,-0.805670,0.453421
0.050000,11.930879,4.732361,18.055539,4.682153,7.462324,20.932016,0.419302
0.050000,12.170414,4.831280,18.314695,5.183127,10.019464,51.142790,0.360108
0.050000,12.452957,4.923089,18.611780,5.941690,15.171278,103.036282,0.262906
0.050000,12.805931,4.989796,18.971001,7.184432,24.854829,193.671008,0.103302
0.050000,13.095827,5.000609,19.261099,5.801952,-27.649602,-1050.088615,0.012949
0.050000,13.268178,5.005128,19.433510,3.448214,-47.074762,-388.503186,0.040532
0.050000,13.433921,5.014548,19.599520,3.320202,-2.560233,890.290578,0.074514
0.050000,13.590180,5.029418,19.756485,3.139315,-3.617745,-21.150247,0.117537
0.050000,13.732315,5.050004,19.900103,2.872343,-5.339437,-34.433839,0.173901
0.050000,13.852517,5.075490,20.022977,2.457499,-8.296888,-59.149026,0.250996
0.050000,13.937385,5.101592,20.111768,1.775819,-13.633583,-106.733900,0.362161
0.050000,13.965452,5.113658,20.142319,0.611012,-23.296154,-193.251408,0.531597
0.050000,13.917108,5.073593,20.205107,1.255761,12.894982,723.822721,0.794531
0.050000,13.830448,4.944786,20.360353,3.104916,36.983107,481.762485,1.150581
0.050000,13.794912,4.812162,20.497655,2.746041,-7.177511,-883.212362,1.488515
0.050000,13.794150,4.780840,20.528986,0.626629,-42.388235,-704.214478,1.719856
0.050000,13.780405,4.837098,20.586899,1.158251,10.632444,1060.413594,1.861007
0.050000,13.743890,4.940786,20.696829,2.198593,20.806833,203.487781,1.945855
0.050000,13.690543,5.065910,20.832851,2.720440,10.436949,-207.397688,1.996230
0.050000,13.627388,5.199612,20.980718,2.957346,4.738116,-113.976655,2.024769
0.050000,13.559330,5.336332,21.133441,3.054467,1.942422,-55.913883,2.038457
0.050000,13.489720,5.473439,21.287207,3.075309,0.416833,-30.511783,2.041103
0.050000,13.420880,5.609676,21.439848,3.052833,-0.449514,-17.326945,2.034872
0.050000,13.354473,5.744463,21.590106,3.005154,-0.953587,-10.081462,2.021025
0.050000,13.291747,5.877541,21.737226,2.942401,-1.255052,-6.029298,2.000314
0.050000,13.233691,6.008759,21.880714,2.869754,-1.452935,-3.957656,1.973234
0.050000,13.181133,6.137908,22.020148,2.788678,-1.621531,-3.371915,1.940205
0.050000,13.134797,6.264563,22.155012,2.697285,-1.827852,-4.126427,1.901744
0.050000,13.095299,6.387912,22.284531,2.590388,-2.137948,-6.201923,1.858627
0.050000,13.063089,6.506606,22.407518,2.459730,-2.613160,-9.504236,1.812041
0.050000,13.038332,6.618650,22.522264,2.294921,-3.296170,-13.660198,1.763695
0.050000,13.020767,6.721429,22.626534,2.085397,-4.190489,-17.886377,1.715827
0.050000,13.009594,6.811901,22.717693,1.823187,-5.244205,-21.074329,1.671072
0.050000,13.003505,6.886933,22.792972,1.505574,-6.352259,-22.161079,1.632200
0.050000,13.000876,6.943695,22.849794,1.136442,-7.382634,-20.607490,1.601787
0.050000,13.000111,6.979974,22.886081,0.725753,-8.213775,-16.622819,1.581911
0.050000,13.000004,6.996381,22.902489,0.328146,-7.952152,5.232461,1.572812
0.050000,13.000000,7.000000,22.906108,0.072378,-5.115353,56.735983,1.570796
0.050000,13.000000,7.000000,22.906108,0.000000,-1.447558,73.355887,1.570796
